abstract,abstractnote,address,annote,archiveprefix,articleno,author,author1_email,author1_url,author2_email,author2_url,bdsk-url-1,booktitle,chapter,citation_key,collection,contact,copyright,date,day,doi,edition,editor,entry_type,eprint,file,howpublished,institution,isbn,issn,issue,issue_date,journal,keywords,language,lccn,location,month,note,number,numpages,organization,pages,pmcid,pmid,primaryclass,publisher,rights,school,series,shorttitle,title,type,url,urldate,volume,year
,,,,,,Kaiming He and Xiangyu Zhang and Shaoqing Ren and Jian Sun,,,,,https://arxiv.org/pdf/1512.03385.pdf,,,resnet,,,,,,,,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Deep Residual Learning for Image Recognition},,https://arxiv.org/pdf/1512.03385.pdf,,,2015
,,,,,,"Candel, Arno",,,,,,,,performance,,,,,,,,,misc,,,\url{http://h2o.ai/blog/2015/02/deep-learning-performance/},,,,,,H2O.ai Blog,,,,,,,February 26,,,,,,,,,,,,\textbf{Definitive Performance Tuning Guide for Deep Learning},Blog,,,,2015
,,,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,http://web.stanford.edu/?hastie/Papers/boost_discussion.pdf,,,discussion,,,,,,,,,article,,,,,,,,,\textit{Annual Statistics},,,,,,,,,,102-107,,,,,,,,,\textbf{Discussion of Boosting Papers},,http://web.stanford.edu/?hastie/Papers/boost_discussion.pdf,,32,2004
,,,,,,Stephen Boyd and Neal Parikh and Eric Chu and Borja Peleato and Jonahtan Eckstein,,,,,https://web.stanford.edu/~boyd/papers/pdf/admm_distr_stats.pdf,,,admm,,,,,,,,,article,,,,,,,,,\textit{Foundations and Trends in Machine Learning},,,,,,,1,,,1-122,,,,,,,,,\textbf{Distributed Optimization and Statistical Learning via the Alternating Direction Method of Multipliers},,https://web.stanford.edu/~boyd/papers/pdf/admm_distr_stats.pdf,,3,1996
,,,,,,,,,,,http://yann.lecun.com/exdb/publis/pdf/lecun-98b.pdf,,,efficientbackprop,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Efficient BackProp},,http://yann.lecun.com/exdb/publis/pdf/lecun-98b.pdf,,,1998
,,,,,,Solon Barocas and Moritz Hardt and Arvind Narayanan,,,,,,,,fairmlbook,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{http://www.fairmlbook.org},,,,,,,,fairmlbook.org,,,,,\textbf{Fairness and {M}achine {L}earning},,,,,2019
,,,,,,"Aiello, S. and Eckstrand, E. and Fu, A. and Landry, M. and Lanford, J. and Aboyoun, P.",,,,,http://h2o.ai/resources,,,h2o_R_booklet,,,,,,,,,manual,,,,,,,,,,,,,,August,,,,,,,,,,,,,,\textbf{Fast Scalable R with H2O},,http://h2o.ai/resources,,,2015
,,,,,,"Hussami, N. and Kraljevic, T. and Lanford, J. and Nykodym, T. and Rao, A. and Wang, A.",,,,,http://h2o.ai/resources,,,h2o_GLM_booklet,,,,,,,,,manual,,,,,,,,,,,,,,August,,,,,,,,,,,,,,\textbf{Generalized Linear Modeling with H2O},,http://h2o.ai/resources,,,2015
,,,,,,Christian Szegedy and Wei Liu and Yangqing Jia and Pierre Sermanet and Scott E. Reed and Dragomir Anguelov and Dumitru Erhan and Vincent Vanhoucke and Andrew Rabinovich,,,,,https://arxiv.org/pdf/1409.4842.pdf,,,googlenet,,,,,,,,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Going Deeper with Convolutions},,https://arxiv.org/pdf/1409.4842.pdf,,,2014
,,,,,,"Click, C. and Lanford, J. and Malohlava, M. and Parmar, V. and Roark, H.",,,,,http://h2o.ai/resources,,,h2o_GBM_booklet,,,,,,,,,manual,,,,,,,,,,,,,,August,,,,,,,,,,,,,,\textbf{Gradient Boosted Models},,http://h2o.ai/resources,,,2015
