entry_type,citation_key,address,author,booktitle,editor,institution,journal,month,note,number,organization,pages,publisher,title,volume,year
article,guidotti2018survey,,"Guidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino",,,,ACM Computing Surveys (CSUR),,URL: \url{https://arxiv.org/pdf/1802.01933.pdf},5,,93,ACM,{A} {S}urvey of {M}ethods for {E}xplaining {B}lack {B}ox {M}odels,51,2018
inproceedings,art_and_sci,,"Hall, Patrick",KDD '19 XAI Workshop Proceedings,,,,,URL: \url{https://arxiv.org/pdf/1810.02909.pdf},,,,,On the {A}rt and {S}cience of {M}achine {L}earning {E}xplanations,,2019
inproceedings,hardt2016equality,,"Hardt, Moritz and Price, Eric and Srebro, Nati and others",Advances in Neural Information Processing Systems,,,,,URL: \url{http://papers.nips.cc/paper/6374-equality-of-opportunity-in-supervised-learning.pdf},,,3315--3323,,Equality of {O}pportunity in {S}upervised {L}earning,,2016
article,lime-sup,,Linwei Hu and Jie Chen and Vijayan N. Nair and Agus Sudjianto,,,,arXiv preprint arXiv:1806.00663,,URL: \url{https://arxiv.org/ftp/arxiv/papers/1806/1806.00663.pdf},,,,,Locally {I}nterpretable {M}odels and {E}ffects {B}ased on {S}upervised {P}artitioning ({LIME-SUP}),,2018
article,kamiran2012data,,"Kamiran, Faisal and Calders, Toon",,,,Knowledge and Information Systems,,URL: \url{https://bit.ly/2lH95lQ},1,,1--33,Springer,Data {P}reprocessing {T}echniques for {C}lassification {W}ithout {D}iscrimination,33,2012
misc,kangdebugging,,"Kang, Daniel and Raghavan, Deepti and Bailis, Peter and Zaharia, Matei",,,,,,URL: \url{https://www-cs.stanford.edu/~matei/papers/2018/mlsys_model_assertions.pdf},,,,,Debugging {M}achine {L}earning {M}odels via {M}odel {A}ssertions,,2019
article,keinan2004fair,,"Keinan, Alon and Sandbank, Ben and Hilgetag, Claus C. and Meilijson, Isaac and Ruppin, Eytan",,,,Neural Computation,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.436.6801&rep=rep1&type=pdf},9,,1887--1915,MIT Press,Fair {A}ttribution of {F}unctional {C}ontribution in {A}rtificial and {B}iological {N}etworks,16,2004
misc,uci,,M. Lichman,,,"University of California, Irvine, School of Information and Computer Sciences""",,,URL: \url{http://archive.ics.uci.edu/ml},,,,,{UCI} {M}achine {L}earning {R}epository,,2013
article,lipovetsky2001analysis,,"Lipovetsky, Stan and Conklin, Michael",,,,Applied Stochastic Models in Business and Industry,,,4,,319--330,Wiley Online Library,Analysis of {R}egression in {G}ame {T}heory {A}pproach,17,2001
article,lipton1,,"Lipton, Zachary C.",,,,arXiv preprint arXiv:1606.03490,,URL: \url{https://arxiv.org/pdf/1606.03490.pdf},,,,,The {M}ythos of {M}odel {I}nterpretability,,2016
inproceedings,ga2m,,"Lou, Yin and Caruana, Rich and Gehrke, Johannes and Hooker, Giles",Proceedings of the 19th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.352.7682&rep=rep1&type=pdf},,ACM,623--631,,Accurate {I}ntelligible {M}odels with {P}airwise {I}nteractions,,2013
incollection,tree_shap,,"Lundberg, Scott M. and Erion, Gabriel G. and Lee, Su-In",Proceedings of the 2017 ICML Workshop on Human Interpretability in Machine Learning (WHI 2017),Been Kim and Dmitry M. Malioutov and Kush R. Varshney and Adrian Weller,,,,URL: \url{https://openreview.net/pdf?id=ByTKSo-m-},,ICML,15--21,ICML WHI 2017,Consistent {I}ndividualized {F}eature {A}ttribution for {T}ree {E}nsembles,,2017
incollection,shapley,,"Lundberg, Scott M. and Lee, Su-In",Advances in Neural Information Processing Systems 30,I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,,,URL: \url{http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf},,,4765--4774,"Curran Associates, Inc.",A {U}nified {A}pproach to {I}nterpreting {M}odel {P}redictions,,2017
book,molnar,,Christoph Molnar,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,christophm.github.io,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,2018
article,molnar2019quantifying,,"Molnar, Christoph and Casalicchio, Giuseppe and Bischl, Bernd",,,,arXiv preprint arXiv:1904.03867,,URL: \url{https://arxiv.org/pdf/1904.03867.pdf},,,,,Quantifying {I}nterpretability of {A}rbitrary {M}achine {L}earning {M}odels {T}hrough {F}unctional {D}ecomposition,,2019
article,murdoch2019interpretable,,"Murdoch, W. James and Singh, Chandan and Kumbier, Karl and Abbasi-Asl, Reza and Yu, Bin",,,,arXiv preprint arXiv:1901.04592,,URL: \url{https://arxiv.org/pdf/1901.04592.pdf},,,,,"Interpretable {M}achine {L}earning: {D}efinitions, {M}ethods, and {A}pplications",,2019
inproceedings,easily_fooled,,"Nguyen, Anh and Yosinski, Jason and Clune, Jeff",Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition,,,,,URL: \url{https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Nguyen_Deep_Neural_Networks_2015_CVPR_paper.pdf},,,427--436,,Deep {N}eural {N}etworks are {E}asily {F}ooled: {H}igh {C}onfidence {P}redictions for {U}nrecognizable {I}mages,,2015
