entry_type,citation_key,address,author,booktitle,editor,institution,journal,month,note,number,organization,pages,publisher,title,url,volume,year
article,gilpin2018explaining,,Leilani H. Gilpin and David Bau and Ben Z. Yuan and Ayesha Bajwa and Michael Specter and Lalana Kagal,,,,arXiv preprint arXiv:1806.00069,,URL: \url{https://arxiv.org/pdf/1806.00069.pdf},,,,,Explaining {E}xplanations: {A}n {A}pproach to {E}valuating {I}nterpretability of {M}achine {L}earning,,,2018
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,,Journal of Computational and Graphical Statistics,,URL: \url{https://arxiv.org/pdf/1309.6392.pdf},1,,,,Peeking {I}nside the {B}lack {B}ox: {V}isualizing {S}tatistical {L}earning with {P}lots of {I}ndividual {C}onditional {E}xpectation,,24,2015
article,kamiran2012data,,"Kamiran, Faisal and Calders, Toon",,,,Knowledge and Information Systems,,URL: \url{https://link.springer.com/content/pdf/10.1007/s10115-011-0463-8.pdf},1,,1--33,Springer,Data {P}reprocessing {T}echniques for {C}lassification {W}ithout {D}iscrimination,,33,2012
misc,gopinathan1998fraud,,"Gopinathan, Krishna M. and Biafore, Louis S. and Ferguson, William M. and Lazarus, Michael A. and Pathria, Anu K. and Jost, Allen",,,,,October~6,"US Patent 5,819,226. URL: \url{https://patents.google.com/patent/US5819226A}",,,,Google Patents,Fraud {D}etection using {P}redictive {M}odeling,,,1998
article,gosiewska2019safe,,"Gosiewska, Alicja and Gacek, Aleksandra and Lubon, Piotr and Biecek, Przemyslaw",,,,arXiv preprint arXiv:1902.11035,,URL: \url{https://arxiv.org/pdf/1902.11035v1.pdf},,,,,S{A}{F}{E} {M}{L}: {S}urrogate {A}ssisted {F}eature {E}xtraction for {M}odel {L}earning,,,2019
article,guidotti2018survey,,"Guidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino",,,,ACM Computing Surveys (CSUR),,URL: \url{https://arxiv.org/pdf/1802.01933.pdf},5,,93,ACM,{A} {S}urvey of {M}ethods for {E}xplaining {B}lack {B}ox {M}odels,,51,2018
inproceedings,art_and_sci,,"Hall, Patrick","JSM Proceedings, Statistical Computing Section",,,,,URL: \url{https://github.com/jphall663/jsm_2018_paper},,,1781--1799,American Statistical Association,On the {A}rt and {S}cience of {M}achine {L}earning {E}xplanations,,,2018
inproceedings,hardt2016equality,,"Hardt, Moritz and Price, Eric and Srebro, Nati and others",Advances in Neural Information Processing Systems,,,,,URL: \url{http://papers.nips.cc/paper/6374-equality-of-opportunity-in-supervised-learning.pdf},,,3315--3323,,Equality of {O}pportunity in {S}upervised {L}earning,,,2016
article,lime-sup,,Linwei Hu and Jie Chen and Vijayan N. Nair and Agus Sudjianto,,,,arXiv preprint arXiv:1806.00663,,URL: \url{https://arxiv.org/ftp/arxiv/papers/1806/1806.00663.pdf},,,,,Locally {I}nterpretable {M}odels and {E}ffects {B}ased on {S}upervised {P}artitioning ({LIME-SUP}),,,2018
misc,kangdebugging,,"Kang, Daniel and Raghavan, Deepti and Bailis, Peter and Zaharia, Matei",,,,,,URL: \url{https://debug-ml-iclr2019.github.io/cameraready/DebugML-19_paper_27.pdf},,,,,Debugging {M}achine {L}earning {M}odels via {M}odel {A}ssertions,,,
article,keinan2004fair,,"Keinan, Alon and Sandbank, Ben and Hilgetag, Claus C. and Meilijson, Isaac and Ruppin, Eytan",,,,Neural Computation,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.436.6801&rep=rep1&type=pdf},9,,1887--1915,MIT Press,Fair {A}ttribution of {F}unctional {C}ontribution in {A}rtificial and {B}iological {N}etworks,,16,2004
misc,uci,,M. Lichman,,,"University of California, Irvine, School of Information and Computer Sciences""",,,URL: \url{http://archive.ics.uci.edu/ml},,,,,{UCI} {M}achine {L}earning {R}epository,,,2013
article,lipovetsky2001analysis,,"Lipovetsky, Stan and Conklin, Michael",,,,Applied Stochastic Models in Business and Industry,,,4,,319--330,Wiley Online Library,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,17,2001
article,lipton1,,"Lipton, Zachary C.",,,,arXiv preprint arXiv:1606.03490,,URL: \url{https://arxiv.org/pdf/1606.03490.pdf},,,,,The {M}ythos of {M}odel {I}nterpretability,,,2016
