entry_type,citation_key,author,booktitle,editor,journal,note,number,organization,pages,publisher,title,url,volume,year
inproceedings,ga2m,"Lou, Yin and Caruana, Rich and Gehrke, Johannes and Hooker, Giles",Proceedings of the 19th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.352.7682&rep=rep1&type=pdf},,ACM,623--631,,Accurate {I}ntelligible {M}odels with {P}airwise {I}nteractions,,,2013
incollection,tree_shap,"Lundberg, Scott M. and Erion, Gabriel G. and Lee, Su-In",Proceedings of the 2017 ICML Workshop on Human Interpretability in Machine Learning (WHI 2017),Been Kim and Dmitry M. Malioutov and Kush R. Varshney and Adrian Weller,,URL: \url{https://openreview.net/pdf?id=ByTKSo-m-},,ICML,15--21,ICML WHI 2017,Consistent {I}ndividualized {F}eature {A}ttribution for {T}ree {E}nsembles,,,2017
article,lipovetsky2001analysis,"Lipovetsky, Stan and Conklin, Michael",,,Applied Stochastic Models in Business and Industry,,4,,319--330,Wiley Online Library,Analysis of {R}egression in {G}ame {T}heory {A}pproach,,17,2001
incollection,shapley,"Lundberg, Scott M and Lee, Su-In",Advances in Neural Information Processing Systems 30,I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,URL: \url{http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf},,,4765--4774,"Curran Associates, Inc.",A {U}nified {A}pproach to {I}nterpreting {M}odel {P}redictions,,,2017
inproceedings,model_cards,"Mitchell, Margaret and Wu, Simone and Zaldivar, Andrew and Barnes, Parker and Vasserman, Lucy and Hutchinson, Ben and Spitzer, Elena and Raji, Inioluwa Deborah and Gebru, Timnit","Proceedings of the Conference on Fairness, Accountability, and Transparency",,,URL: \url{https://arxiv.org/pdf/1810.03993.pdf},,ACM,220--229,,Model {C}ards for {M}odel {R}eporting,,,2019
inproceedings,niculescu2005predicting,"Niculescu-Mizil, Alexandru and Caruana, Rich",Proceedings of the 22nd international conference on Machine learning,,,URL: \url{https://bit.ly/3434dZG},,ACM,625--632,,Predicting {G}ood {P}robabilities with {S}upervised {L}earning,,,2005
article,pate,"Papernot, Nicolas and Song, Shuang and Mironov, Ilya and Raghunathan, Ananth and Talwar, Kunal and Erlingsson, {\'U}lfar",,,arXiv preprint arXiv:1802.08908,URL: \url{https://arxiv.org/pdf/1802.08908.pdf},,,,,Scalable {P}rivate {L}earning with {P}{A}{T}{E},,,2018
inproceedings,papernot2018marauder,"Papernot, Nicolas",Proceedings of the 11th ACM Workshop on Artificial Intelligence and Security,,,URL: \url{https://arxiv.org/pdf/1811.01134.pdf},,ACM,,,A {M}arauder's {M}ap of {S}ecurity and {P}rivacy in {M}achine {L}earning: {A}n overview of current and future research directions for making machine learning secure and private,,,2018
article,pearl2011bayesian,"Pearl, Judea",,,,URL: \url{https://escholarship.org/uc/item/53n4f34m},,,,,{B}ayesian {N}etworks,,,2011
book,pearl2018book,"Pearl, Judea and Mackenzie, Dana",,,,URL: \url{http://cdar.berkeley.edu/wp-content/uploads/2017/04/Lisa-Goldberg-reviews-The-Book-of-Why.pdf},,,,Basic Books,The {B}ook of {W}hy: the {N}ew {S}cience of {C}ause and {E}ffect,,,2018
inproceedings,lime,Marco Tulio Ribeiro and Sameer Singh and Carlos Guestrin,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,URL: \url{http://www.kdd.org/kdd2016/papers/files/rfp0573-ribeiroA.pdf},,ACM,1135--1144,,Why {S}hould {I} {T}rust {Y}ou?: {E}xplaining the {P}redictions of {A}ny {C}lassifier,,,2016
article,please_stop,"Rudin, Cynthia",,,arXiv preprint arXiv:1811.10154,URL: \url{https://arxiv.org/pdf/1811.10154.pdf},,,,,{P}lease {S}top {E}xplaining {B}lack {B}ox {M}odels for {H}igh {S}takes {D}ecisions,,,2018
article,wf_xnn,"Vaughan, Joel and Sudjianto, Agus and Brahimi, Erind and Chen, Jie and Nair, Vijayan N",,,arXiv preprint arXiv:1806.01933,URL: \url{https://arxiv.org/pdf/1806.01933.pdf},,,,,Explainable {N}eural {N}etworks {B}ased on {A}dditive {I}ndex {M}odels,,,2018
article,salvatier2016probabilistic,"Salvatier, John and Wiecki, Thomas V and Fonnesbeck, Christopher",,,PeerJ Computer Science,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.800.6956&rep=rep1&type=pdf},,,e55,PeerJ Inc.,Probabilistic {P}rogramming in {P}ython using {P}y{M}{C}{3},,2,2016
article,shapley1953value,"Shapley, Lloyd S",,,Contributions to the Theory of Games,URL: \url{http://www.library.fa.ru/files/Roth2.pdf\#page=39},28,,307--317,,A {V}alue for {N}-{P}erson {G}ames,,2,1953
book,shapley1988shapley,"Shapley, Lloyd S and Roth, Alvin E and others",,,,URL: \url{http://www.library.fa.ru/files/Roth2.pdf},,,,Cambridge University Press,The Shapley Value: Essays in Honor of Lloyd S. Shapley,,,1988
inproceedings,vartak2016m,"Vartak, Manasi and Subramanyam, Harihar and Lee, Wei-En and Viswanathan, Srinidhi and Husnoo, Saadiyah and Madden, Samuel and Zaharia, Matei",Proceedings of the Workshop on Human-In-the-Loop Data Analytics,,,URL: \url{https://www-cs.stanford.edu/~matei/papers/2016/hilda_modeldb.pdf},,ACM,14,,Model {D}{B}: {A} {S}ystem for {M}achine {L}earning {M}odel {M}anagement,,,2016
article,wachter2017counterfactual,"Wachter, Sandra and Mittelstadt, Brent and Russell, Chris",,,Harv. JL \& Tech.,,,,841,HeinOnline,Counterfactual {E}xplanations without {O}pening the {B}lack {B}ox: {A}utomated {D}ecisions and the {G}{P}{D}{R},URL: \url{https://arxiv.org/pdf/1711.00399.pdf},31,2017
book,wilkinson2006grammar,"Wilkinson, Leland",,,,,,,,,The {G}rammar of {G}raphics,,,2006
article,wilkinson2018visualizing,"Wilkinson, Leland",,,IEEE Transactions on Visualization \& Computer Graphics,URL: \url{https://www.cs.uic.edu/~wilkinson/Publications/outliers.pdf},,,,IEEE,Visualizing Big Data Outliers through Distributed Aggregation,,,2018
inproceedings,sbrl,Hongyu Yang and Cynthia Rudin and Margo Seltzer,Proceedings of the 34th International Conference on Machine Learning {(ICML)},,,URL: \url{https://arxiv.org/pdf/1602.08610.pdf},,,,,Scalable {B}ayesian {R}ule {L}ists,,,2017
inproceedings,lfr,"Zemel, Rich and Wu, Yu and Swersky, Kevin and Pitassi, Toni and Dwork, Cynthia",International Conference on Machine Learning,,,URL: \url{http://proceedings.mlr.press/v28/zemel13.pdf},,,325--333,,Learning {F}air {R}epresentations,,,2013
inproceedings,zhang2018mitigating,"Zhang, Brian Hu and Lemoine, Blake and Mitchell, Margaret","Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",,,URL: \url{https://bit.ly/2KAV1nG},,ACM,335--340,,Mitigating {U}nwanted {B}iases with {A}dversarial {L}earning,,,2018
article,ji2014differential,"Ji, Zhanglong and Lipton, Zachary C. and Elkan, Charles",,,arXiv preprint arXiv:1412.7584,URL: \url{https://arxiv.org/pdf/1412.7584.pdf},,,,,Differential {P}rivacy and {M}achine {L}earning: {A} {S}urvey and {R}eview,,,2014
article,zou2006sparse,"Zou, Hui and Hastie, Trevor and Tibshirani, Robert",,,Journal of computational and graphical statistics,URL: \url{https://www.cc.gatech.edu/home/isbell/classes/reading/papers/sparsepc.pdf},2,,265--286,Taylor \& Francis,Sparse {P}rincipal {C}omponent {A}nalysis,,15,2006
