entry_type,citation_key,address,author,booktitle,editor,howpublished,journal,note,number,organization,pages,publisher,title,volume,year
article,wf_xnn,,"Vaughan, Joel and Sudjianto, Agus and Brahimi, Erind and Chen, Jie and Nair, Vijayan N.",,,,arXiv preprint arXiv:1806.01933,URL: \url{https://arxiv.org/pdf/1806.01933.pdf},,,,,Explainable {N}eural {N}etworks {B}ased on {A}dditive {I}ndex {M}odels,,2018
article,yang2019enhancing,,"Yang, Zebin and Zhang, Aijun and Sudjianto, Agus",,,,arXiv preprint arXiv:1901.03838,URL: \url{https://arxiv.org/pdf/1901.03838.pdf},,,,,Enhancing {E}xplainability of {N}eural {N}etworks {T}hrough {A}rchitecture {C}onstraints,,2019
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,,Journal of Computational and Graphical Statistics,URL: \url{https://arxiv.org/pdf/1309.6392.pdf},1,,,,Peeking {I}nside the {B}lack {B}ox: {V}isualizing {S}tatistical {L}earning with {P}lots of {I}ndividual {C}onditional {E}xpectation,24,2015
incollection,shapley,,"Lundberg, Scott M. and Lee, Su-In",Advances in Neural Information Processing Systems (NIPS),I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,,URL: \url{http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf},,,4765--4774,"Curran Associates, Inc.",A {U}nified {A}pproach to {I}nterpreting {M}odel {P}redictions,,2017
incollection,tree_shap,,"Lundberg, Scott M. and Erion, Gabriel G. and Lee, Su-In",Proceedings of the 2017 ICML Workshop on Human Interpretability in Machine Learning (WHI 2017),Been Kim and Dmitry M. Malioutov and Kush R. Varshney and Adrian Weller,,,URL: \url{https://openreview.net/pdf?id=ByTKSo-m-},,ICML,15--21,ICML WHI 2017,Consistent {I}ndividualized {F}eature {A}ttribution for {T}ree {E}nsembles,,2017
book,cohen1988statistical,,"Cohen, Jacob",,,,,URL: \url{http://www.utstat.toronto.edu/~brunner/oldclass/378f16/readings/CohenPower.pdf},,,,Lawrence Erlbaum Associates,\textbf{Statistical {P}ower {A}nalysis for the {B}ehavioral {S}ciences},,1988
article,cohen1992power,,"Cohen, Jacob",,,,Psychological Bulletin,URL: \url{https://www.ime.usp.br/~abe/lista/pdfn45sGokvRe.pdf},1,,155,American Psychological Association,A {P}ower {P}rimer.,112,1992
inproceedings,zafar2017fairness,,"Zafar, Muhammad Bilal and Valera, Isabel and Gomez Rodriguez, Manuel and Gummadi, Krishna P.",Proceedings of the 26th International Conference on World Wide Web,,,,URL: \url{https://arxiv.org/pdf/1610.08452.pdf},,International World Wide Web Conferences Steering Committee,1171--1180,,Fairness {B}eyond {D}isparate {T}reatment \& {D}isparate {I}mpact: {L}earning {C}lassification {W}ithout {D}isparate {M}istreatment,,2017
inproceedings,ga2m,,"Lou, Yin and Caruana, Rich and Gehrke, Johannes and Hooker, Giles",Proceedings of the 19th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.352.7682&rep=rep1&type=pdf},,ACM,623--631,,Accurate {I}ntelligible {M}odels with {P}airwise {I}nteractions,,2013
article,ale_plot,,"Apley, Daniel W.",,,,arXiv preprint arXiv:1612.08468,URL: \url{https://arxiv.org/pdf/1612.08468.pdf},,,,,Visualizing the {E}ffects of {P}redictor {V}ariables in {B}lack {B}ox {S}upervised {L}earning {M}odels,,2016
book,shapley1988shapley,,"Shapley, Lloyd S. and Roth, Alvin E. and others",,,,,URL: \url{http://www.library.fa.ru/files/Roth2.pdf},,,,Cambridge University Press,\textbf{The Shapley value: {E}ssays in Honor of {L}loyd {S}. {S}hapley},,1988
inproceedings,art_and_sci,,"Hall, Patrick",KDD '19 XAI Workshop,,,,URL: \url{https://arxiv.org/pdf/1810.02909.pdf},,,,,On the {A}rt and {S}cience of {M}achine {L}earning {E}xplanations,,2019
book,molnar,,Christoph Molnar,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,christophm.github.io,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,2018
article,osdt,,"Hu, Xiyang and Rudin, Cynthia and Seltzer, Margo",,,,arXiv preprint arXiv:1904.12847,URL: \url{https://arxiv.org/pdf/1904.12847.pdf},,,,,Optimal {S}parse {D}ecision {T}rees,,2019
article,rulefit,,"Friedman, Jerome H. and Popescu, Bogdan E. and others",,,,The Annals of Applied Statistics,URL: \url{https://projecteuclid.org/download/pdfview_1/euclid.aoas/1223908046},3,,916--954,Institute of Mathematical Statistics,Predictive {L}earning {V}ia {R}ule {E}nsembles,2,2008
article,lattice,,"Gupta, Maya and Cotter, Andrew and Pfeifer, Jan and Voevodski, Konstantin and Canini, Kevin and Mangylov, Alexander and Moczydlowski, Wojciech and Van Esbroeck, Alexander",,,,The Journal of Machine Learning Research,URL: \url{http://www.jmlr.org/papers/volume17/15-243/15-243.pdf},1,,3790--3836,JMLR. org,Monotonic {C}alibrated {I}nterpolated {L}ookup {T}ables,17,2016
inproceedings,this_looks_like_that,,Chaofan Chen and Oscar Li and Alina Barnett and Jonathan Su and Cynthia Rudin,Proceedings of Neural Information Processing Systems {(NeurIPS)},,,,URL: \url{https://arxiv.org/pdf/1806.10574.pdf},,,,,{T}his {L}ooks {L}ike {T}hat: {D}eep {L}earning for {I}nterpretable {I}mage {R}ecognition,,2019
article,wilkinson2018visualizing,,"Wilkinson, Leland",,,,IEEE Transactions on Visualization \& Computer Graphics,URL: \url{https://www.cs.uic.edu/~wilkinson/Publications/outliers.pdf},,,,IEEE,Visualizing Big Data Outliers through Distributed Aggregation,,2018
article,udell2016generalized,,"Udell, Madeleine and Horn, Corinne and Zadeh, Reza and Boyd, Stephen and others",,,,Foundations and Trends{\textregistered} in Machine Learning,URL: \url{https://www.nowpublishers.com/article/Details/MAL-055},1,,1--118,"Now Publishers, Inc.",Generalized {L}ow {R}ank {M}odels,9,2016
